measurement_time,x_axis,y_axis,z_axis
2128.3,-39,-20,988
2128.34,-39,-21,987
2128.38,-40,-19,986
2128.43,-41,-21,987
2128.47,-40,-19,987
2128.51,-38,-19,988
2128.55,-42,-21,986
2128.59,-38,-20,987
2128.63,-40,-22,986
2128.68,-43,-22,986
2129.42,-38,-18,986
2129.47,-41,-21,987
2129.51,-40,-19,988
2129.55,-38,-19,986
2129.59,-40,-21,987
2129.63,-41,-22,987
2129.67,-41,-19,988
2129.72,-41,-22,987
2129.76,-39,-19,987
2129.8,-40,-20,987
2130.58,-41,-20,987
2130.62,-39,-20,989
2130.66,-40,-21,986
2130.7,-42,-20,987
2130.74,-40,-22,987
2130.79,-40,-21,986
2130.83,-40,-21,986
2130.88,-38,-21,986
2130.92,-42,-20,987
2130.96,-42,-21,988
2131.71,-39,-21,988
2131.75,-42,-21,986
2131.79,-40,-19,984
2131.84,-39,-19,985
2131.88,-38,-21,988
2131.92,-39,-22,986
2131.97,-41,-20,987
2132.01,-42,-21,987
2132.05,-40,-20,986
2132.09,-39,-20,988
2132.83,-40,-20,988
2132.87,-40,-20,988
2132.92,-40,-19,987
2132.96,-38,-22,986
2133.01,-40,-22,987
2133.05,-40,-21,986
2133.09,-38,-23,986
2133.13,-39,-21,987
2133.18,-40,-22,986
2133.22,-40,-19,987
2133.98,-42,-21,987
2134.02,-39,-20,988
2134.07,-39,-20,987
2134.11,-39,-19,986
2134.15,-35,-18,987
2134.19,-44,-22,986
2134.24,-44,-20,985
2134.28,-39,-22,986
2134.32,-41,-20,986
2134.36,-41,-18,986
2135.15,-40,-21,986
2135.2,-40,-22,985
2135.25,-40,-20,987
2135.31,-41,-21,986
2135.36,-40,-20,986
2135.41,-42,-21,987
2135.46,-39,-19,986
2135.51,-42,-23,988
2135.57,-38,-20,986
2135.62,-42,-23,986
2136.26,-41,-20,986
2136.3,-40,-20,986
2136.35,-40,-21,986
2136.39,-39,-20,985
2136.43,-41,-22,987
2136.47,-40,-20,987
2136.51,-39,-20,986
2136.55,-39,-18,987
2136.59,-39,-21,986
2136.64,-41,-19,987
2137.4,-42,-20,987
2137.44,-41,-21,987
2137.48,-41,-21,987
2137.52,-38,-22,987
2137.56,-40,-18,987
2137.6,-40,-19,987
2137.64,-41,-19,986
2137.69,-41,-20,987
2137.73,-40,-18,984
2137.78,-39,-20,987
2138.52,-40,-20,985
2138.56,-40,-21,986
2138.6,-39,-22,988
2138.64,-40,-21,987
2138.68,-41,-22,986
2138.73,-40,-21,986
2138.77,-39,-21,986
2138.81,-39,-21,987
2138.86,-41,-20,987
2138.9,-40,-21,987
2139.66,-40,-21,985
2139.7,-41,-22,986
2139.74,-39,-22,985
2139.79,-40,-18,985
2139.83,-40,-21,985
2139.87,-40,-20,985
2139.92,-39,-20,987
2139.96,-40,-20,985
2140.0,-41,-21,986
2140.05,-40,-21,987
2140.8,-42,-20,987
2140.85,-39,-21,986
2140.89,-38,-20,986
2140.93,-42,-22,986
2140.98,-39,-20,987
2141.02,-38,-20,988
2141.06,-40,-19,988
2141.11,-44,-22,985
2141.15,-38,-21,988
2141.19,-40,-19,985
2141.93,-40,-20,986
2141.97,-41,-20,986
2142.01,-43,-22,986
2142.06,-40,-20,988
2142.1,-40,-19,987
2142.14,-41,-23,987
2142.19,-38,-18,986
2142.23,-40,-21,987
2142.27,-43,-20,987
2142.31,-37,-21,987
2143.05,-42,-22,986
2143.1,-39,-18,986
2143.14,-38,-20,986
2143.18,-41,-21,986
2143.23,-40,-19,988
2143.27,-40,-20,986
2143.31,-40,-20,987
2143.35,-42,-20,986
2143.39,-40,-21,987
2143.43,-38,-20,987
2144.2,-38,-18,987
2144.24,-41,-20,987
2144.29,-39,-21,988
2144.33,-40,-20,987
2144.37,-41,-19,987
2144.41,-40,-22,986
2144.45,-38,-20,988
2144.49,-42,-21,986
2144.53,-37,-20,985
2144.58,-41,-19,987
2145.35,-40,-21,986
2145.39,-40,-22,987
2145.43,-40,-21,987
2145.47,-40,-20,986
2145.51,-38,-21,988
2145.55,-40,-21,987
2145.59,-40,-22,988
2145.64,-40,-20,987
2145.68,-40,-21,986
2145.72,-40,-21,987
2146.47,-42,-20,988
2146.51,-40,-20,986
2146.55,-39,-22,987
2146.59,-40,-20,987
2146.63,-40,-22,987
2146.68,-40,-21,987
2146.72,-40,-20,987
2146.76,-41,-21,986
2146.81,-40,-21,987
2146.85,-40,-20,987
2147.6,-41,-22,987
2147.64,-38,-21,986
2147.68,-38,-20,987
2147.73,-41,-19,988
2147.77,-38,-20,987
2147.81,-39,-22,988
2147.85,-39,-21,985
2147.9,-40,-21,988
2147.94,-39,-20,987
2147.99,-40,-21,985
2148.74,-40,-20,986
2148.79,-40,-20,988
2148.83,-41,-21,984
2148.87,-40,-21,988
2148.91,-40,-22,988
2148.96,-39,-20,987
2149.0,-40,-20,986
2149.05,-40,-22,987
2149.09,-41,-21,986
2149.13,-40,-20,987
2149.87,-39,-21,986
2149.91,-41,-20,986
2149.95,-39,-20,988
2150.0,-41,-23,986
2150.04,-39,-18,986
2150.08,-41,-21,987
2150.13,-41,-20,987
2150.17,-39,-20,986
2150.21,-39,-19,986
2150.25,-40,-22,986
2150.99,-44,-23,987
2151.03,-37,-23,988
2151.08,-42,-20,987
2151.12,-40,-19,986
2151.17,-38,-22,988
2151.21,-43,-16,986
2151.25,-41,-23,988
2151.29,-38,-20,986
2151.33,-42,-18,988
2151.37,-41,-22,987
2152.15,-41,-20,986
2152.2,-38,-19,988
2152.26,-41,-19,986
2152.31,-41,-22,987
2152.36,-41,-21,985
2152.41,-40,-19,986
2152.46,-39,-20,988
2152.52,-43,-21,986
2152.57,-40,-21,986
2152.62,-37,-19,986
2153.29,-49,-25,984
2153.33,-39,-21,991
2153.37,-36,-19,988
2153.41,-41,-21,986
2153.45,-36,-20,985
2153.49,-41,-21,987
2153.53,-44,-21,988
2153.58,-36,-21,986
2153.62,-39,-20,986
2153.66,-42,-22,987
2154.41,-38,-22,986
2154.45,-39,-19,986
2154.49,-44,-18,985
2154.53,-39,-23,987
2154.57,-40,-20,986
2154.62,-39,-20,986
2154.66,-41,-22,987
2154.7,-42,-18,987
2154.74,-38,-18,988
2154.79,-43,-22,987
2155.53,-39,-18,985
2155.57,-39,-21,987
2155.61,-41,-22,986
2155.65,-42,-19,987
2155.7,-39,-20,988
2155.74,-38,-21,987
2155.78,-42,-20,987
2155.83,-40,-20,987
2155.87,-40,-20,986
2155.91,-40,-20,985
2156.67,-39,-22,988
2156.71,-41,-20,986
2156.76,-39,-22,985
2156.8,-41,-20,984
2156.84,-40,-20,985
2156.88,-38,-22,988
2156.93,-39,-20,985
2156.97,-41,-20,987
2157.02,-39,-21,987
2157.06,-41,-19,986
2157.82,-44,-19,987
2157.86,-37,-21,987
2157.9,-41,-22,986
2157.94,-42,-18,987
2157.99,-39,-23,986
2158.03,-44,-21,990
2158.08,-37,-20,987
2158.12,-38,-24,987
2158.16,-43,-15,983
2158.2,-42,-23,987
2158.94,-39,-22,987
2158.98,-39,-19,988
2159.03,-43,-22,985
2159.07,-39,-20,987
2159.12,-37,-18,986
2159.16,-45,-21,986
2159.2,-39,-19,986
2159.24,-36,-24,988
2159.28,-43,-22,987
2159.32,-39,-20,985
2160.06,-42,-20,987
2160.11,-39,-22,985
2160.15,-39,-20,986
2160.2,-41,-21,987
2160.24,-39,-19,987
2160.28,-40,-20,987
2160.32,-43,-21,987
2160.36,-41,-23,987
2160.4,-38,-18,988
2160.45,-42,-22,986
2161.19,-41,-22,986
2161.24,-39,-19,986
2161.28,-41,-22,987
2161.32,-39,-19,987
2161.36,-39,-23,987
2161.4,-43,-21,986
2161.44,-40,-19,989
2161.49,-41,-22,988
2161.53,-39,-19,988
2161.57,-41,-21,986
2162.33,-39,-23,987
2162.37,-39,-21,987
2162.41,-44,-21,986
2162.45,-38,-21,986
2162.49,-38,-20,986
2162.53,-41,-19,986
2162.58,-40,-21,987
2162.62,-39,-19,985
2162.66,-39,-21,987
2162.7,-39,-20,987
2163.46,-41,-21,987
2163.5,-42,-22,987
2163.54,-39,-20,988
2163.58,-39,-22,988
2163.63,-40,-21,986
2163.67,-39,-21,987
2163.71,-40,-21,987
2163.75,-41,-19,986
2163.8,-39,-22,987
2163.84,-43,-21,987
2164.6,-41,-21,987
2164.64,-40,-21,988
2164.69,-39,-21,986
2164.73,-40,-21,986
2164.77,-40,-21,987
2164.81,-40,-21,987
2164.86,-42,-22,986
2164.9,-42,-21,985
2164.95,-40,-21,986
2164.99,-41,-19,987
2174.08,-40,-21,986
2174.13,-41,-21,985
2174.18,-39,-21,987
2174.24,-42,-21,987
2174.29,-40,-21,986
2174.34,-40,-19,987
2174.39,-38,-21,986
2174.45,-40,-19,986
2174.51,-42,-19,987
2174.56,-40,-21,986
2175.55,-40,-22,987
2175.59,-39,-19,988
2175.63,-41,-25,988
2175.67,-41,-20,987
2175.71,-36,-20,988
2175.75,-41,-21,986
2175.8,-43,-19,986
2175.84,-38,-24,987
2176.34,-42,-20,988
2176.37,-42,-19,988
2176.4,-40,-22,986
2176.43,-39,-24,986
2176.46,-43,-20,987
2176.49,-37,-17,988
2176.52,-35,-21,986
2176.56,-38,-24,990
2176.6,-45,-20,984
2176.63,-37,-19,986
2177.47,-42,-19,986
2177.51,-41,-21,986
2177.55,-37,-21,986
2177.6,-39,-22,988
2177.65,-41,-22,987
2177.69,-43,-22,988
2177.73,-41,-20,986
2177.77,-38,-19,987
2177.81,-41,-22,986
2177.85,-41,-19,987
2178.61,-43,-18,986
2178.65,-35,-23,986
2178.71,-47,-22,985
2178.75,-38,-18,987
2178.79,-34,-20,988
2178.83,-49,-19,986
2178.87,-40,-22,986
2178.91,-34,-21,987
2178.96,-43,-17,986
2179.0,-40,-24,987
2180.31,-41,-25,986
2180.35,-45,-16,987
2180.39,-36,-22,988
2180.43,-42,-24,987
2180.47,-41,-15,987
2180.51,-35,-26,986
2180.56,-41,-21,986
2180.6,-40,-20,986
2180.64,-38,-26,988
2180.68,-46,-18,987
2181.43,-49,-21,987
2181.47,-44,-20,992
2181.51,-31,-21,980
2181.55,-49,-23,988
2181.59,-43,-19,988
2181.64,-38,-28,987
2181.68,-50,-21,987
2181.72,-33,-15,987
2181.76,-36,-25,987
2181.8,-50,-21,987
2182.55,-43,-21,987
2182.59,-40,-23,987
2182.63,-39,-17,987
2182.68,-42,-22,987
2182.72,-43,-22,987
2182.76,-39,-22,988
2182.8,-39,-22,986
2182.84,-40,-20,987
2182.88,-40,-22,986
2182.94,-41,-20,987
2183.69,-42,-19,986
2183.74,-40,-20,988
2183.78,-39,-20,987
2183.82,-43,-20,987
2183.86,-40,-21,987
2183.9,-40,-21,987
2183.94,-42,-19,987
2184.0,-39,-20,989
2184.04,-41,-23,987
2184.08,-41,-21,985
2185.39,-42,-20,987
2185.43,-39,-21,988
2185.47,-41,-22,987
2185.51,-43,-20,988
2185.55,-39,-21,987
2185.61,-40,-19,987
2185.65,-41,-22,986
2185.69,-39,-20,987
2185.73,-39,-21,987
2185.77,-41,-21,987
2186.51,-38,-20,987
2186.55,-41,-22,988
2186.59,-40,-20,987
2186.65,-40,-20,988
2186.69,-42,-20,987
2186.73,-40,-23,987
2186.77,-40,-21,986
2186.81,-40,-19,987
2186.85,-39,-21,987
2186.89,-40,-20,987
2187.64,-42,-21,987
2187.69,-40,-21,985
2187.74,-42,-20,988
2187.78,-39,-22,987
2187.82,-41,-19,986
2187.86,-41,-22,987
2187.9,-39,-20,987
2187.94,-41,-19,986
2187.99,-39,-21,987
2188.03,-39,-21,988
2188.79,-41,-23,987
2188.83,-40,-21,987
2188.87,-39,-18,987
2188.91,-42,-22,986
2188.95,-40,-21,986
2188.99,-38,-22,989
2189.04,-45,-20,988
2189.08,-41,-23,987
2189.12,-30,-20,987
2189.16,-48,-20,986
2189.91,-47,-19,986
2189.95,-39,-21,987
2189.99,-36,-24,988
2190.03,-43,-18,986
2190.08,-39,-20,986
2190.12,-39,-19,987
2190.16,-44,-21,987
2190.2,-40,-24,988
2190.24,-42,-19,986
2190.28,-41,-20,987
2191.07,-40,-20,986
2191.12,-39,-19,988
2191.18,-43,-20,988
2191.23,-39,-21,987
2191.28,-40,-20,987
2191.33,-43,-20,987
2191.38,-40,-23,986
2191.45,-40,-19,986
2191.5,-40,-21,987
2191.55,-39,-20,986
2192.21,-39,-25,986
2192.25,-31,-17,987
2192.29,-51,-17,986
2192.33,-39,-25,983
2192.37,-34,-19,992
2192.41,-43,-18,986
2192.47,-41,-23,987
2192.51,-41,-21,988
2192.55,-44,-18,986
2192.59,-38,-22,984
2193.32,-40,-20,986
2193.36,-39,-19,987
2193.4,-39,-21,988
2193.44,-42,-20,987
2193.48,-39,-21,987
2193.54,-41,-23,987
2193.58,-39,-18,987
2193.62,-39,-21,986
2193.66,-41,-20,988
2193.7,-41,-18,987
2194.44,-40,-18,987
2194.48,-41,-20,986
2194.52,-40,-20,985
2194.56,-38,-16,986
2194.62,-39,-25,988
2194.66,-40,-20,988
2194.7,-41,-18,986
2194.74,-38,-22,986
2194.78,-41,-17,987
2194.82,-40,-23,988
2195.56,-40,-19,986
2195.6,-40,-19,986
2195.66,-42,-20,986
2195.7,-40,-18,986
2195.74,-40,-19,987
2195.78,-41,-19,986
2195.82,-38,-19,987
2195.86,-40,-20,988
2195.91,-39,-19,987
2195.95,-40,-20,987
2196.72,-39,-19,987
2196.76,-42,-19,987
2196.8,-40,-21,986
2196.84,-39,-20,986
2196.88,-41,-20,986
2196.92,-41,-20,988
2196.97,-40,-18,987
2197.01,-40,-21,986
2197.05,-41,-19,986
2197.09,-41,-19,985
2197.86,-40,-21,987
2197.91,-39,-20,987
2197.96,-43,-20,986
2198.01,-40,-21,987
2198.07,-42,-20,986
2198.12,-38,-21,986
2198.17,-39,-21,987
2198.22,-42,-19,987
2198.27,-41,-20,986
2198.34,-43,-19,987
2201.23,-1,-161,970
2201.27,-10,-104,981
2201.31,-31,-117,989
2201.35,2,-98,980
2201.39,-17,-82,984
2201.43,-19,-82,985
2201.48,-18,-81,985
2201.53,-17,-80,984
2201.57,-19,-83,983
2201.61,-15,-83,985
2247.16,-21,-81,983
2247.2,-16,-84,985
2247.24,-17,-82,985
2247.29,-18,-84,983
2247.33,-16,-84,983
2247.37,-19,-79,983
2247.41,-18,-84,985
2247.45,-16,-81,984
2247.49,-18,-80,985
2247.54,-16,-82,983
2248.28,-16,-81,985
2248.33,-17,-81,984
2248.37,-17,-82,985
2248.41,-18,-82,984
2248.45,-19,-81,984
2248.49,-16,-81,984
2248.53,-17,-82,983
2248.57,-18,-83,984
2248.62,-17,-80,983
2248.66,-18,-81,985
